,Filename,Main Frequency,Mean,RMS,Peak,Crest Factor,Form Factor,Kurtosis,Entropy,Skewness,Total Energy
0,2004.02.12.11.22.39,985.3515625,0.40057022094726563,0.41196992763314416,1.0,2.4273616420140542,1.0284586973512924,0.18563759722622297,5.042931681707022,0.06080463418952179,3475.8496516927084
1,2004.02.12.12.02.39,19012.6953125,0.525801931448188,0.5366341410713823,1.0,1.8634669758497184,1.0206013119681012,0.1960323588933366,5.067201318418677,0.08951343846820273,5897.752603922846
2,2004.02.12.10.42.39,984.375,0.5100629664179104,0.5196880605042524,1.0,1.9242312379270399,1.018870403695327,0.25301376937623843,5.0537668414850065,0.07008844936856712,5531.149931124153
3,2004.02.12.12.32.39,984.375,0.4097739888606459,0.4196055669513173,1.0,2.383190497842037,1.0239926846455225,0.29046220658733946,5.034147000138409,0.09282136736169619,3605.8896756026656
4,2004.02.12.12.42.39,984.375,0.46100338021504494,0.47692599877748243,0.9999999999999998,2.0967613478051677,1.0345390494859497,0.10632066193073486,5.068506439660702,0.0994554774847334,4658.348202186735
5,2004.02.12.13.22.39,985.3515625,0.4726042570891204,0.4846884303482774,1.0,2.063181081672283,1.0255693279903704,0.11760727403785243,5.049257013295092,0.09640777733669031,4811.220470036008
6,2004.02.12.13.02.39,984.375,0.5185196618541034,0.5273078816095192,1.0,1.8964252856370494,1.0169486721564063,0.19598682545266222,5.066384851385772,0.08059294650070797,5694.537769113985
7,2004.02.12.12.52.39,19013.671875,0.4537210259555785,0.4673127345359419,1.0,2.1398946061100506,1.0299560915250467,0.14024854233672368,5.067765181165875,0.1075889012338986,4472.446809281735
8,2004.02.12.13.12.39,984.375,0.47326439190121417,0.4849056168820439,1.0,2.062256994319898,1.0245977199638119,0.16584819519362348,5.077341133229284,0.09864096614989123,4815.533205171314
9,2004.02.12.13.52.39,984.375,0.45752871028573405,0.46973696066700343,0.9999999999999999,2.128851003293522,1.0266830258010369,0.1524805052472975,5.076914620585485,0.11733938656757381,4518.969594197482
10,2004.02.12.13.42.39,984.375,0.4857811243971062,0.49644174379105255,1.0,2.014335040328297,1.021945314172462,0.2425243166798703,5.072973566712237,0.1416567328034428,5047.386213955606
11,2004.02.12.11.02.39,984.375,0.4521641205506951,0.46085641825144585,1.0,2.1698732195032475,1.019223767003371,0.23534074042490039,5.0122020886109455,0.10583404042688294,4349.7193112279365
12,2004.02.12.11.12.39,984.375,0.5164615850712952,0.5263673499018392,1.0,1.8998138850870732,1.019180061241489,0.2263087948977085,5.073301029301563,0.09796563331631056,5674.241782634193
13,2004.02.12.11.52.39,19012.6953125,0.5721486200350469,0.5791195963049622,1.0,1.7267590431759516,1.012183855777697,0.4514264068174749,5.011312521359812,0.03530401451885647,6868.5722997641715
14,2004.02.12.12.12.39,984.375,0.4931455903215637,0.5075257736184865,1.0,1.9703432849731737,1.0291601173753697,0.1700577747770553,5.07166271375598,0.08224454826272624,5275.287774966646
15,2004.02.12.13.32.39,984.375,0.5099109327936746,0.5225859077782775,0.9999999999999999,1.9135609765127448,1.0248572332331842,0.13740794134351475,5.070942086216145,0.10592078788640719,5593.006715052981
16,2004.02.12.11.42.39,984.375,0.49787359470274384,0.5106888404882162,0.9999999999999999,1.9581395180752423,1.0257399587401772,0.103750449214155,5.0518023592427,0.08691282295565178,5341.24732004759
17,2004.02.12.10.52.39,984.375,0.5043305241605884,0.5130650693070505,0.9999999999999999,1.9490705172164755,1.0173190888277086,0.3107892284776641,5.055147366903762,0.09658256297862043,5391.068474225634
18,2004.02.12.12.22.39,984.375,0.5049216720469131,0.5176461732236723,0.9999999999999998,1.9318214868129717,1.0252009408215241,0.05914761962361981,5.0535288649705,0.07005841676106675,5487.770842175738
19,2004.02.12.11.32.39,984.375,0.43779235839843744,0.44700638258169484,0.9999999999999999,2.2371045223660535,1.0210465623862526,0.25010839555129794,5.031139615898282,0.09921385444321687,4092.2051802884616
20,2004.02.12.10.32.39,984.375,0.5120829368442937,0.5203122925051853,1.0,1.921922688363228,1.0160703571019274,0.5068005370841773,5.012800484975983,0.12691486043827932,5544.445577871391
21,2004.02.12.16.22.39,19013.671875,0.46415582315811255,0.48099323912609493,1.0,2.0790313015976607,1.0362753522156003,0.11379389122156791,5.074596926507814,0.09799826223669061,4738.140079821061
22,2004.02.12.16.32.39,984.375,0.4394282078598485,0.4545567786626024,1.0,2.1999451926384235,1.0344278554088158,0.17308568677688108,5.079496787647536,0.12943450278333243,4231.615795775941
23,2004.02.12.17.02.39,985.3515625,0.4935188478718266,0.5049465472270975,0.9999999999999999,1.980407640158106,1.0231555479685324,0.27543904828842036,5.088114099560457,0.10821088126772345,5221.806398598502
24,2004.02.12.16.42.39,984.375,0.4934138821087514,0.5055325874972929,1.0,1.9781118462622451,1.0245609331799677,0.21582208152300986,5.085143755655977,0.13173986566603685,5233.9342750045835
25,2004.02.12.14.52.39,984.375,0.48548314919881097,0.4981541921231997,1.0,2.0074105885526454,1.0260998614376209,0.15665516214948738,5.083250843185159,0.09836722820950669,5082.267630180716
26,2004.02.12.15.32.39,984.375,0.49773267897884405,0.5086827886169333,1.0,1.9658616772132547,1.0219999813163858,0.16550688942182434,5.067894097517506,0.11999815531904348,5299.367514830841
27,2004.02.12.15.42.39,984.375,0.5198257497550391,0.5305720314440376,1.0,1.8847582245870333,1.020672853728509,0.1657361179752681,5.067684225620668,0.1364709642541128,5765.256817677369
28,2004.02.12.15.22.39,984.375,0.49838707517471,0.508542615128472,1.0,1.9664035426949857,1.0203768124408161,0.2907499147594046,5.078731830510814,0.08901339446966601,5296.447311906923
29,2004.02.12.14.42.39,984.375,0.3856617004890753,0.39749806188685943,1.0,2.5157355365537146,1.0306910470569774,0.2615943824726452,5.065927173048882,0.1441104129130867,3235.9364444940193
30,2004.02.12.14.02.39,984.375,0.5422211990527126,0.5527695563968142,1.0,1.8090721321890861,1.01945397443429,0.1564794915640455,5.082358489264543,0.07508050525131665,6257.7496571726
31,2004.02.12.15.12.39,19013.671875,0.5628766891891891,0.5721064148067547,0.9999999999999998,1.747926564217565,1.016397420242897,0.2331517446347875,5.066689197646302,0.10687984227268395,6703.22175719503
