,Filename,Main Frequency,Mean,RMS,Peak,Crest Factor,Form Factor,Kurtosis,Entropy,Skewness,Total Energy
0,2004.02.12.11.22.39,985.3515625,0.45264211713897523,0.4629743452929647,1.0,2.159946895906752,1.0228264842416712,0.45609362146286436,4.876275706472954,0.026852972301410396,4389.790605300722
1,2004.02.12.12.02.39,985.3515625,0.4735503727709488,0.4850151051024224,1.0,2.061791456554382,1.0242101643049892,0.32520331504831956,4.84398149627959,0.04632106694487855,4817.708076595483
2,2004.02.12.10.42.39,984.375,0.5091347295037979,0.5187704624109593,1.0,1.927634806639821,1.018925703450936,0.6482910813108562,4.835317987081385,0.05214190733133364,5511.634793883248
3,2004.02.12.12.32.39,984.375,0.48271045047397176,0.4928468931046324,1.0,2.029027704122501,1.0209990121836139,0.3647260382142643,4.8651477650803,0.02577005510099491,4974.552269678366
4,2004.02.12.12.42.39,984.375,0.5058286568368545,0.5144394525743045,1.0,1.9438633545617543,1.0170231473070281,0.5982531546782228,4.893809964766401,0.03674979151112517,5419.990023474178
5,2004.02.12.13.22.39,985.3515625,0.5210108744662838,0.5289684924434955,1.0,1.890471765871424,1.0152734201284443,0.4477488811593342,4.866598408780167,0.020390510898382876,5730.4609996379
6,2004.02.12.13.02.39,984.375,0.5096262122844828,0.5210436724696786,1.0,1.919224918825194,1.0224035968126821,0.5530516614826211,4.878423294295404,-0.01348361399462223,5560.0436965517265
7,2004.02.12.12.52.39,19013.671875,0.47282990828804355,0.4829526041957523,1.0,2.0705965581555823,1.0214087470573923,0.5511103583412895,4.886189965511754,0.024887726210297934,4776.8211025809205
8,2004.02.12.13.12.39,984.375,0.46217428067835364,0.4719668348987549,1.0,2.1187929448782508,1.0211880120330978,0.4799660990734935,4.878220066679977,0.016455531335193375,4561.975157644259
9,2004.02.12.13.52.39,984.375,0.4813843229490972,0.4913384216109537,1.0,2.035257077436149,1.0206780698649986,0.5063801110635788,4.883709923433188,0.06155298503420859,4944.1473444074145
10,2004.02.12.13.42.39,984.375,0.4585112896882152,0.46731388237648075,1.0,2.139889349990191,1.0191982027187405,0.5964296522845256,4.8819833950071745,-0.032123571823409254,4472.46878027324
11,2004.02.12.11.02.39,984.375,0.48456367286475927,0.4891003185854641,1.0,2.0445703304633254,1.0093623314638591,1.1579527230048088,4.761537125231674,0.0414859617161299,4899.207611195443
12,2004.02.12.11.12.39,984.375,0.49692601352701404,0.5069480127586582,1.0,1.9725888549366266,1.020167990724638,0.6031769286310369,4.8750560764108934,0.02822394436819412,5263.2839708662295
13,2004.02.12.11.52.39,985.3515625,0.48070119017737617,0.4921989394146966,1.0,2.031698811031897,1.0239187034945303,0.404514320897305,4.886081197209832,-0.008060293710743153,4961.480621280301
14,2004.02.12.12.12.39,984.375,0.5070045892446318,0.5162384891006153,1.0,1.9370891963948453,1.018212655372096,0.4552119318712813,4.887410233209693,0.033519746761896514,5457.964597839587
